Episode,Reward,Steps,Completed,Deadlock
317,-425.00000000000216,500,False,False
318,-112.04999999999998,37,False,True
319,-454.2500000000021,500,False,False
320,-446.45000000000215,500,False,False
321,80.94999999999999,38,True,False
322,105.65,12,True,False
323,-458.1500000000022,500,False,False
324,99.55,17,True,False
325,-469.8500000000023,500,False,False
326,-89.65,18,False,True
327,-87.25,9,False,True
328,-95.85,25,False,True
329,-104.05,33,False,True
330,-467.9000000000022,500,False,False
331,101.55,16,True,False
332,109.55,12,True,False
333,-452.3000000000019,500,False,False
334,-444.5000000000021,500,False,False
335,97.35,22,True,False
336,-491.3000000000022,500,False,False
337,74.55000000000004,49,True,False
338,86.95,35,True,False
339,-452.3000000000023,500,False,False
340,101.35000000000001,20,True,False
341,64.45000000000003,56,True,False
342,109.75,8,True,False
343,89.35,26,True,False
344,109.55,12,True,False
345,-85.44999999999999,12,False,True
346,-477.65000000000197,500,False,False
347,99.55,17,True,False
348,16.35000000000008,82,True,False
349,96.85,32,True,False
350,57.050000000000026,48,True,False
351,-103.75,27,False,True
352,-432.8000000000023,500,False,False
353,91.25,27,True,False
354,103.75,11,True,False
355,87.45,25,True,False
356,105.65,12,True,False
357,83.25,31,True,False
358,87.25,29,True,False
359,-508.850000000002,500,False,False
360,-458.1500000000024,500,False,False
361,-477.65000000000185,500,False,False
362,-467.90000000000214,500,False,False
363,-101.75,26,False,True
364,101.65,14,True,False
365,87.75,19,True,False
366,-403.55000000000234,500,False,False
367,-95.65,21,False,True
368,-438.650000000002,500,False,False
369,-126.14999999999996,46,False,True
370,-436.7000000000023,500,False,False
371,-477.65000000000197,500,False,False
372,66.45000000000002,55,True,False
373,105.65,12,True,False
374,-456.200000000002,500,False,False
375,-487.4000000000018,500,False,False
376,-444.50000000000165,500,False,False
377,-426.9500000000025,500,False,False
378,51.25000000000004,86,True,False
379,99.75,13,True,False
380,-458.15000000000185,500,False,False
381,-503.0000000000021,500,False,False
382,74.95000000000002,41,True,False
383,99.55,17,True,False
384,85.35,28,True,False
385,95.35,23,True,False
386,111.65,9,True,False
387,91.15,29,True,False
388,-438.65000000000185,500,False,False
389,-479.60000000000207,500,False,False
390,-83.25,7,False,True
391,-477.6500000000021,500,False,False
392,-477.6500000000023,500,False,False
393,75.45,31,True,False
394,-462.050000000002,500,False,False
395,103.55,15,True,False
396,93.75,16,True,False
397,-91.25,11,False,True
398,101.45,18,True,False
399,66.85000000000004,47,True,False
400,-465.9500000000019,500,False,False
401,105.75,10,True,False
402,-462.05000000000206,500,False,False
403,111.75,7,True,False
404,105.65,12,True,False
405,-1.1499999999998636,120,True,False
406,93.75,16,True,False
407,64.25000000000003,60,True,False
408,80.75,42,True,False
409,-93.75,22,False,True
410,-477.65000000000225,500,False,False
411,-477.6500000000025,500,False,False
412,50.55000000000004,61,True,False
413,-460.1000000000021,500,False,False
414,-448.4000000000018,500,False,False
415,60.95000000000002,48,True,False
416,113.75,6,True,False
417,103.15,23,True,False
418,22.350000000000122,118,True,False
419,-116.05,39,False,True
420,-483.500000000002,500,False,False
421,-102.35000000000001,38,False,True
422,-497.150000000002,500,False,False
423,83.35,29,True,False
424,-130.44999999999996,54,False,True
425,-471.80000000000194,500,False,False
426,-458.15000000000236,500,False,False
427,111.75,7,True,False
428,-114.25,42,False,True
429,111.65,9,True,False
430,-425.0000000000023,500,False,False
431,105.65,12,True,False
432,90.85,35,True,False
433,-464.0000000000024,500,False,False
434,-432.8000000000019,500,False,False
435,107.45,15,True,False
436,79.25,33,True,False
437,56.85000000000002,91,True,False
438,107.55000000000001,13,True,False
439,107.55000000000001,13,True,False
440,97.25,24,True,False
441,-438.65000000000254,500,False,False
442,-150.94999999999993,74,False,True
443,-83.35,9,False,True
444,84.64999999999999,42,True,False
445,78.85000000000001,41,True,False
446,81.14999999999999,34,True,False
447,109.65,10,True,False
448,111.55000000000001,11,True,False
449,-421.1000000000022,500,False,False
450,84.04999999999998,54,True,False
451,111.75,7,True,False
452,-448.40000000000214,500,False,False
453,-471.800000000002,500,False,False
454,99.65,15,True,False
455,80.94999999999999,38,True,False
456,89.55,22,True,False
457,-495.20000000000203,500,False,False
458,75.15,37,True,False
459,-475.70000000000203,500,False,False
460,113.65,8,True,False
461,-434.7500000000018,500,False,False
